Aug 04 2022 18:19:10.994 [DEBUG] timeliner.TimelineSlider       value = 80849
Aug 04 2022 18:19:10.995 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.995 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.995 [DEBUG] timeliner.TimelineSlider       value = 80979
Aug 04 2022 18:19:11.004 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.004 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.005 [DEBUG] timeliner.TimelineSlider       value = 81240
Aug 04 2022 18:19:11.014 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.014 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.014 [DEBUG] timeliner.TimelineSlider       value = 81371
Aug 04 2022 18:19:11.022 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.022 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.022 [DEBUG] timeliner.TimelineSlider       value = 81501
Aug 04 2022 18:19:11.024 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.024 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.024 [DEBUG] timeliner.TimelineSlider       value = 81762
Aug 04 2022 18:19:11.033 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.033 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.033 [DEBUG] timeliner.TimelineSlider       value = 81892
Aug 04 2022 18:19:11.041 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.041 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.041 [DEBUG] timeliner.TimelineSlider       value = 82023
